Year,Selling_Price,Kms_Driven
2014,0.45,23000
2012,0.45,14500
2010,0.45,27000
2016,0.45,14000
2016,0.45,500
2016,0.45,1000
2014,0.42,42000
2013,0.42,12000
2015,0.4,14000
2012,0.4,5500
2015,0.4,6700
2014,0.4,13700
2017,0.4,1300
2015,0.38,38600
2011,0.38,75000
2011,0.35,30000
2016,0.35,24000
2014,0.35,19000
2010,0.31,213000
2012,0.3,60000
2016,0.3,50000
2013,0.3,30000
2013,0.27,21000
2008,0.25,26000
2008,0.25,1900
2010,0.25,22000
2013,0.25,32000
2013,0.25,18000
2005,0.2,55000
2008,0.2,60000
2012,0.2,25000
2007,0.2,49000
2013,0.2,24000
2008,0.2,50000
2015,0.18,35000
2008,0.17,500000
2010,0.16,33000
2011,0.15,35000
2007,0.12,53000
2006,0.1,92233
2010,3.25,58000
2015,4.4,28200
2011,2.95,53460
2015,2.75,28282
2016,5.25,3493
2017,5.75,12479
2015,5.15,34797
2017,7.9,3435
2015,4.85,21125
2012,3.1,35775
2015,11.75,43535
2016,11.25,22671
2011,2.9,31604
2017,5.25,20114
2012,4.5,36100
2016,2.9,12500
2016,3.15,15000
2014,6.45,45078
2012,4.5,36000
2017,3.5,38488
2013,4.5,32000
2014,6,77632
2015,8.25,61381
2013,5.11,36198
2011,2.7,22517
2015,5.25,24678
2011,2.55,57000
2012,4.95,60000
2012,3.1,52132
2013,6.15,45000
2017,9.25,15001
2015,11.45,12900
2013,3.9,53000
2015,5.5,4492
2017,9.1,15141
2016,3.1,11849
2015,11.25,68000
2013,4.8,60241
2012,2,23709
2012,5.35,32322
2015,4.75,35866
2014,4.4,34000
2016,6.25,7000
2013,5.95,49000
2012,5.2,71000
2012,3.75,35000
2015,5.95,36000
2013,4,30000
2016,5.25,17000
2016,12.9,35934
2013,5,56701
2015,5.4,31427
2014,7.2,48000
2013,5.25,54242
2012,3,53675
2016,10.25,49562
2015,8.5,40324
2015,8.4,25000
2014,3.9,36054
2016,9.15,29223
2016,5.5,5600
2015,4,40023
2016,6.6,16002
2015,4,40026
2017,6.5,21200
2014,3.65,35000
2016,8.35,19434
2017,4.8,19000
2015,6.7,18828
2011,4.1,69341
2009,3,69562
2015,7.5,27600
2010,2.25,61203
2014,5.3,16500
2016,10.9,30753
2015,8.65,24800
2015,9.7,21780
2016,6,4000
2014,6.25,40126
2015,5.25,14465
2006,2.1,50456
2014,8.25,63000
2016,8.99,9010
2013,3.5,9800
2016,7.4,15059
2016,5.65,28569
2015,5.75,44000
2015,8.4,34000
2016,10.11,10980
2014,4.5,19000
2015,5.4,31427
2016,6.4,12000
2010,3.25,38000
2014,3.75,33019
2015,8.55,60076
2016,9.5,33988
2015,4,60000
2009,3.35,87934
2017,11.5,9000
2016,5.3,5464
